N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,300","1,400",+2.34%,100,"3,659,477","5,969,783",50.71,"13,807,741",7.61,17.07,
2,LG에너지솔루션,"553,000","23,000",-3.99%,500,"1,294,020","234,000",5.39,"455,505",167.32,5.75,
3,SK하이닉스,"84,000","5,000",+6.33%,"5,000","611,522","728,002",50.46,"6,171,613",27.42,3.56,
4,삼성바이오로직스,"808,000","18,000",+2.28%,"2,500","575,086","71,174",10.54,"90,070",70.81,11.42,
5,삼성SDI,"721,000","18,000",-2.44%,"5,000","495,792","68,765",49.04,"342,394",26.00,12.52,
6,LG화학,"702,000","28,000",-3.84%,"5,000","495,558","70,592",48.62,"441,786",29.78,6.95,
7,삼성전자우,"53,600","1,600",+3.08%,100,"441,067","822,887",71.87,"2,101,175",6.65,N/A,
8,현대차,"176,600","2,600",+1.49%,"5,000","373,565","211,532",30.31,"506,641",6.64,9.36,
9,기아,"80,200","1,100",+1.39%,"5,000","325,101","405,363",36.40,"1,448,064",6.01,14.57,
10,NAVER,"198,000",900,+0.46%,100,"324,817","164,049",47.31,"766,741",42.73,3.29,
11,POSCO홀딩스,"321,000","2,000",-0.62%,"5,000","271,474","84,571",49.57,"679,696",8.80,6.11,
12,카카오,"60,200",300,+0.50%,100,"268,244","445,588",25.63,"1,640,944",17.26,17.10,
13,셀트리온,"156,500","4,900",+3.23%,"1,000","220,382","140,819",20.23,"612,647",38.56,16.04,
14,현대모비스,"217,500","3,000",+1.40%,"5,000","205,070","94,285",36.34,"166,986",8.27,6.80,
15,삼성물산,"109,600","2,500",+2.33%,100,"204,828","186,887",17.27,"284,682",10.11,7.16,
16,KB금융,"48,450",400,+0.83%,"5,000","198,111","408,897",72.53,"1,760,387",4.53,9.17,
17,포스코케미칼,"252,500","17,000",-6.31%,500,"195,595","77,463",8.16,"1,522,867",165.36,4.87,
18,LG전자,"117,900",400,+0.34%,"5,000","192,941","163,648",26.80,"903,561",13.49,6.32,
19,신한지주,"34,550",100,+0.29%,"5,000","175,785","508,785",62.77,"2,874,906",3.95,9.70,
20,SK이노베이션,"162,200","1,300",-0.80%,"5,000","149,979","92,466",24.74,"560,039",9.69,8.49,
21,LG,"90,500",400,-0.44%,"5,000","142,357","157,301",35.61,"626,230",6.59,12.36,
22,삼성생명,"64,100",300,+0.47%,500,"128,200","200,000",14.97,"280,229",8.10,5.73,
23,KT&G,"91,800","4,600",+5.28%,"5,000","126,035","137,292",44.20,"968,671",12.41,11.00,
24,SK,"165,000","2,100",+1.29%,200,"122,346","74,149",22.87,"184,298",11.22,5.13,
25,하나금융지주,"41,300",650,+1.60%,"5,000","122,208","295,903",71.72,"1,619,090",3.46,10.06,
26,카카오뱅크,"24,700",550,+2.28%,"5,000","117,752","476,731",13.61,"1,330,529",44.67,4.68,
27,한국전력,"17,950",650,+3.76%,"5,000","115,233","641,964",14.33,"1,970,537",-0.47,-46.91,
28,삼성전기,"153,000","2,500",+1.66%,"5,000","114,281","74,694",29.64,"456,241",12.11,13.76,
29,두산에너빌리티,"17,090",270,-1.56%,"5,000","109,087","638,308",12.62,"4,352,393",341.80,10.67,
30,고려아연,"527,000","8,000",-1.50%,"5,000","104,679","19,863",22.19,"58,345",12.99,9.38,
31,SK텔레콤,"46,850",350,-0.74%,100,"102,523","218,833",43.11,"879,866",11.24,7.97,
32,삼성화재,"215,500","3,000",+1.41%,500,"102,093","47,375",51.54,"98,183",8.51,9.70,
33,HMM,"20,400",100,+0.49%,"5,000","99,764","489,039",10.55,"1,681,669",0.87,88.62,
34,삼성에스디에스,"119,200","1,900",+1.62%,500,"92,234","77,378",13.85,"123,072",8.39,14.23,
35,LG생활건강,"567,000","8,000",+1.43%,"5,000","88,555","15,618",35.84,"118,020",42.47,4.41,
36,S-Oil,"76,400",200,+0.26%,"2,500","86,013","112,583",79.75,"298,754",4.12,21.76,
37,현대중공업,"95,700",900,+0.95%,"5,000","84,956","88,773",5.87,"259,205",-11.96,-14.87,
38,엔씨소프트,"383,500","11,000",+2.95%,500,"84,194","21,954",45.18,"107,833",14.24,12.62,
39,대한항공,"22,700",350,+1.57%,"5,000","83,586","368,221",15.04,"998,542",4.73,21.95,
40,크래프톤,"164,400","8,300",+5.32%,100,"80,946","49,237",29.75,"229,548",16.13,10.29,
41,우리금융지주,"11,090",140,+1.28%,"5,000","80,742","728,061",40.14,"4,016,247",2.57,11.51,
42,카카오페이,"60,000",400,+0.67%,500,"80,213","133,688",43.43,"309,346",-303.03,-2.45,
43,한화솔루션,"41,600",0,0.00%,"5,000","79,572","191,278",25.82,0,27.37,8.79,
44,기업은행,"9,730",130,+1.35%,"5,000","77,590","797,426",13.63,"1,665,820",2.80,9.85,
45,KT,"29,650",50,-0.17%,"5,000","77,420","261,112",42.42,"1,003,427",6.13,7.99,
46,하이브,"179,400","2,900",+1.64%,500,"74,188","41,353",15.10,"200,684",27.12,6.83,
47,아모레퍼시픽,"126,400","2,200",+1.77%,500,"73,935","58,493",25.18,"185,182",64.92,2.81,
48,롯데케미칼,"172,100","3,900",-2.22%,"5,000","73,616","42,775",24.26,"135,388",28.14,9.87,
49,메리츠금융지주,"42,150",400,+0.96%,500,"73,444","174,245",12.71,"826,723",5.17,30.32,
50,LG이노텍,"253,500",500,+0.20%,"5,000","59,996","23,667",22.01,"199,309",6.12,25.85,
